,pq_id,answer,rank,score
65,73:15-19_386,الذين يطع الله يطع الله يطع الله ورسوله يؤ,1,1
66,2:233-233_132,يحيى,1,1
67,31:12-19_132,الذين آمنوا لكم لهم الكتاب الكتاب والحكمة على الكتاب,1,1
68,46:15-18_132,السلوى,1,1
69,24:30-31_348,يطع الله يطع الله الرسول,1,1
70,33:32-34_348,من يؤمنون,1,1
71,33:32-34_348,يحيى,1,1
72,33:53-55_348,ثلاثة أيام,1,1
73,33:56-59_348,الذين آمنوا,1,1
74,2:190-194_304,يحيى,1,1
75,4:88-91_304,من يطع الله ورسوله من يطع الله ورسوله من يطع الله,1,1
76,8:62-66_304,يحيى,1,1
77,9:1-6_304,الطير,1,1
78,9:73-74_304,يحيى,1,1
79,25:45-55_304,إن الذين يؤمنون يؤتون,1,1
80,47:1-6_304,إسحاق,1,1
81,66:8-9_304,يحيى,1,1
82,2:151-153_415,يؤمن يؤمن ربه يؤمن ربه لنفسه,1,1
83,2:151-153_415,الذين يصلحون,1,1
84,3:30-32_415,ثلاثة أيام,1,1
85,3:130-136_415,يحيى,1,1
86,3:164-165_415,إنما يطع الله ورسوله,1,1
87,4:12-14_415,ثلاثة أيام,1,1
88,4:58-59_415,يحيى,1,1
89,4:58-59_415,الحوت يطع الله يحسن لنفسه لكم يؤمنين,1,1
90,4:64-65_415,الذين آمنوا لهم يؤمنون لهم يؤمنون,1,1
91,4:66-70_415,السلوى,1,1
92,4:80-84_415,يطع الله ورسوله,1,1
93,4:80-84_415,الذين آمنوا يؤتون الرسول يطع الله رسول الله ي,1,1
94,5:90-93_415,ثلاثة أيام,1,1
95,5:103-105_415,الذين آمنوا يطع الله ورسوله,1,1
96,7:157-158_415,يحيى,1,1
97,7:157-158_415,الذين آمنوا رسولا,1,1
98,7:157-158_415,يحيى,1,1
99,8:20-26_415,من يطع الله ورسوله يؤمن يؤمن يحسن,1,1
100,8:20-26_415,الذين آمنوا بما يرحمون الله,1,1
101,9:71-72_415,الذين آمنوا,1,1
102,24:46-54_415,يحيى,1,1
103,24:46-54_415,يطع الله يطع الله يطع يطع الله رسول الله,1,1
104,24:46-54_415,من يطع الله رسولا,1,1
105,24:46-54_415,يحيى,1,1
106,24:55-57_415,الذين آمنوا,1,1
107,24:62-64_415,يؤمن يؤمنون,1,1
108,33:21-24_415,يحيى,1,1
109,33:36-40_415,إن يطع الله ورسوله,1,1
110,33:36-40_415,لحسن,1,1
111,33:69-71_415,من يهود,1,1
112,47:33-38_415,إن الذين آمنوا يطع الله ورسوله,1,1
113,48:16-17_415,إن يؤمنين,1,1
114,49:6-8_415,من يطع الله ورسوله يرفعه قوم يؤيها,1,1
115,58:12-13_415,هارون,1,1
116,59:6-7_415,لقد يطع الله يصلح لنفسه,1,1
117,64:11-13_415,السلوى,1,1
118,2:256-257_417,الكتاب الكتاب والرسول يؤمن على الله يؤمن على,1,1
119,10:107-109_417,الناقة,1,1
120,17:12-17_417,الذين يؤمنون,1,1
121,18:29-31_417,إنما يؤمن الكتاب يؤمن يأتيه لنفسه,1,1
122,27:89-93_417,لقد أطيعوا الله على رسول الله,1,1
123,39:38-41_417,يطع الله ورسوله,1,1
124,109:1-6_417,من يطع الله يحافظ الكتاب والرسول,1,1
125,5:44-47_351,الكتاب,1,1
126,5:44-47_351,إن يطع الله ورسوله يطع الله ورسوله,1,1
127,5:44-47_351,نادى وهو يؤمن الكتاب يؤمنون,1,1
